order_item_id,order_id,product_id,quantity,total_price
1,1429,226,1,194.93
2,2713,127,3,511.41
3,4318,467,20,9476.6
4,1756,252,16,11545.28
5,4574,485,11,1615.79
6,1223,15,17,4260.2
7,2985,204,4,573.48
8,1420,20,2,1105.0
9,4541,251,2,545.32
10,3815,266,20,16254.4
11,4661,225,17,8684.62
12,3050,342,12,8241.12
13,1940,327,17,6184.43
14,499,409,18,7207.2
15,2279,155,2,419.96
16,672,418,8,7386.56
17,4701,165,19,16275.97
18,2842,428,4,1862.44
19,4674,461,6,5727.3
20,1223,330,3,97.83
21,4808,384,19,3340.39
22,758,156,12,8008.44
23,4190,99,7,3382.33
24,1609,467,2,1231.92
25,3852,43,1,580.78
26,4095,48,7,4829.37
27,1190,204,20,19354.8
28,1244,60,2,1273.92
29,3772,210,7,1160.81
30,1144,28,15,11326.95
31,732,60,4,2439.12
32,857,67,4,1555.04
33,262,229,6,308.58
34,4335,390,5,3628.85
35,1622,474,15,13996.2
36,1754,19,20,14986.2
37,3535,195,10,5761.7
38,110,339,11,2379.52
39,2470,398,6,2764.74
40,2311,91,17,1914.03
41,187,405,4,396.8
42,4300,72,18,12351.78
43,4723,341,11,9473.75
44,1230,306,11,10803.76
45,141,431,10,3818.2
46,3005,496,19,3832.68
47,541,415,12,8692.32
48,1759,367,1,807.31
49,1051,399,19,11404.56
50,140,398,19,9530.21
51,3717,61,4,946.28
52,3473,479,5,1413.55
53,4421,188,12,6650.4
54,1068,109,13,4080.44
55,614,455,1,266.76
56,3948,477,5,176.95
57,2965,315,2,856.48
58,4568,254,6,2907.12
59,4908,318,9,627.39
60,700,221,2,897.36
61,184,212,14,12086.76
62,2306,272,8,1109.52
63,2139,488,4,1395.88
64,63,114,6,4976.94
65,481,64,10,420.6
66,3323,490,1,619.98
67,3699,189,16,9100.48
68,2526,319,14,12517.54
69,4835,347,3,1131.54
70,3483,432,12,4539.0
71,2059,246,6,5677.86
72,2058,237,4,581.96
73,362,285,14,177.8
74,4213,63,2,1542.94
75,3380,284,2,430.3
76,3266,142,8,874.96
