order_id,customer_id,order_date,shipment_status
1,812,2025-06-16,Cancelled
2,500,2025-03-30,Pending
3,658,2025-11-01,Delivered
4,749,2025-01-20,Cancelled
5,799,2025-02-10,Pending
6,357,2025-06-21,Cancelled
7,953,2025-08-02,Pending
8,766,2025-04-27,Pending
9,797,2025-11-21,Cancelled
10,313,2025-01-28,Pending
11,553,2025-06-13,Shipped
12,515,2025-06-17,Shipped
13,52,2025-03-20,Cancelled
14,771,2025-08-17,Pending
15,443,2025-04-24,Delivered
16,152,2025-07-21,Shipped
17,85,2025-06-22,Cancelled
18,764,2025-10-20,Pending
19,409,2025-10-08,Delivered
20,409,2025-02-13,Cancelled
21,134,2025-12-24,Shipped
22,573,2025-09-04,Shipped
23,405,2025-09-07,Shipped
24,631,2025-10-15,Shipped
25,74,2025-05-05,Delivered
26,332,2025-08-09,Pending
27,688,2025-02-27,Cancelled
28,375,2025-08-05,Delivered
29,329,2025-04-08,Delivered
30,672,2025-11-01,Pending
31,174,2025-06-06,Delivered
32,842,2025-11-12,Cancelled
33,150,2025-11-16,Cancelled
34,947,2025-01-23,Shipped
35,702,2025-04-13,Delivered
36,776,2025-03-21,Pending
37,758,2025-02-27,Pending
38,972,2025-05-05,Shipped
39,15,2025-05-28,Delivered
40,824,2025-12-22,Pending
41,461,2025-06-06,Cancelled
42,340,2025-01-12,Shipped
43,217,2025-10-03,Shipped
44,536,2025-10-07,Delivered
45,495,2025-10-08,Shipped
46,716,2025-12-22,Pending
47,597,2025-07-12,Pending
48,175,2025-05-11,Pending
49,206,2025-05-26,Delivered
50,477,2025-01-28,Pending
51,398,2025-02-04,Delivered
52,873,2025-12-06,Delivered
53,20,2025-02-25,Delivered
54,396,2025-11-29,Shipped
55,521,2025-07-14,Pending
56,497,2025-06-11,Pending
57,204,2025-04-06,Cancelled
58,949,2025-10-15,Pending
59,254,2025-01-21,Delivered
60,502,2025-06-20,Cancelled
61,19,2025-03-22,Delivered
62,361,2025-12-17,Delivered
63,310,2025-11-17,Shipped
64,283,2025-09-14,Pending
65,264,2025-11-17,Cancelled
66,967,2025-01-16,Delivered
67,156,2025-04-26,Delivered
68,673,2025-07-21,Shipped
69,748,2025-02-14,Cancelled
70,984,2025-09-24,Shipped
71,247,2025-08-02,Shipped
72,994,2025-08-07,Delivered
73,338,2025-11-06,Cancelled
74,135,2025-10-05,Shipped
75,142,2025-12-01,Shipped
76,317,2025-03-12,Shipped
77,931,2025-08-09,Shipped
78,956,2025-12-02,Shipped
79,70,2025-06-12,Pending
80,326,2025-04-05,Shipped
81,784,2025-01-16,Delivered
82,985,2025-07-31,Cancelled
83,454,2025-06-05,Delivered
84,798,2025-03-19,Shipped
85,135,2025-02-24,Shipped
86,781,2025-01-14,Delivered
87,581,2025-11-07,Shipped
88,238,2025-11-02,Shipped
89,27,2025-12-18,Delivered
90,705,2025-02-10,Cancelled
91,515,2025-03-10,Cancelled
92,666,2025-12-31,Delivered
93,873,2025-04-05,Cancelled
94,486,2025-09-09,Shipped
95,198,2025-03-25,Shipped
96,419,2025-01-17,Pending
97,974,2025-05-19,Cancelled
98,761,2025-04-24,Shipped
99,68,2025-04-15,Shipped
100,888,2025-08-13,Cancelled
101,333,2025-12-19,Cancelled
102,438,2025-05-07,Cancelled
103,623,2025-01-22,Cancelled
104,404,2025-06-10,Pending
105,112,2025-09-24,Cancelled
106,847,2025-08-22,Pending
107,532,2025-05-06,Cancelled
108,572,2025-01-21,Cancelled
109,784,2025-09-22,Pending
110,299,2025-04-08,Cancelled
111,906,2025-07-23,Delivered
112,473,2025-05-27,Shipped
113,302,2025-08-05,Pending
114,530,2025-12-20,Shipped
115,850,2025-08-26,Cancelled
116,740,2025-02-16,Pending
117,798,2025-04-03,Shipped
118,424,2025-07-21,Delivered
119,26,2025-08-19,Shipped
120,605,2025-08-21,Shipped
121,93,2025-08-21,Delivered
122,709,2025-06-15,Shipped
123,94,2025-03-05,Pending
124,461,2025-12-28,Delivered
125,537,2025-02-13,Cancelled
126,627,2025-09-19,Shipped
127,564,2025-07-13,Cancelled
128,787,2025-01-23,Shipped
129,580,2025-06-21,Shipped
130,890,2025-03-25,Shipped
131,788,2025-04-02,Pending
132,316,2025-08-03,Delivered
133,296,2025-08-17,Shipped
134,921,2025-03-02,Shipped
135,4,2025-04-14,Delivered
136,470,2025-01-07,Cancelled
137,557,2025-09-13,Pending
138,904,2025-11-08,Cancelled
139,223,2025-05-02,Cancelled
140,420,2025-08-21,Cancelled
141,616,2025-02-10,Pending
142,904,2025-05-06,Delivered
143,644,2025-11-14,Shipped
144,190,2025-01-26,Shipped
145,669,2025-01-29,Delivered
146,149,2025-01-19,Pending
