supplier_id,supplier_name,city,contact_email,rating
1,"Jordan, Hale and Myers",North Christinebury,johnsonelizabeth@pena.com,4.3
2,Lee-Stevenson,Davidmouth,michaelsmith@brock.com,3.1
3,"Rodriguez, Kelley and Lee",Taylorstad,albertanderson@cuevas.biz,3.6
4,"Escobar, Smith and Hughes",Walkerside,zbuchanan@ball.com,3.4
5,Johnson-Perez,West Kellyborough,helen01@lopez-murray.org,4.5
6,Mcknight-Hendrix,North Beth,courtney16@phillips-avila.biz,4.4
7,"Oconnor, Vargas and Huang",Glennfurt,xjohnson@martinez.biz,4.8
8,Davis Ltd,Cynthiastad,tvargas@beard.info,3.2
9,Blair-Gray,South Loriside,paul65@armstrong-lambert.com,3.8
10,"Jones, Berry and Roberts",North Amandaburgh,taylorrobert@brown.com,3.1
11,Hunter LLC,Carolburgh,joannbaker@james.info,3.4
12,"Hall, Martinez and Berry",Glovermouth,fwood@daniel.com,4.0
13,"Lee, Rodriguez and Howell",West Ericfort,xjennings@best.com,3.1
14,"Petersen, Chambers and Walker",North Heather,sknight@palmer.com,3.4
15,"James, Sullivan and Price",North Susanhaven,lauriewilcox@bush.com,4.3
16,"Ross, Santos and Jackson",South Joshua,melissa46@wyatt.com,4.1
17,Chapman Inc,Reedbury,cmckinney@maldonado.com,3.4
18,"Parker, Pollard and Brown",Lammouth,riley31@burns.info,4.2
19,Jenkins LLC,East Melissafurt,robertwilkinson@austin.com,4.6
20,Baker LLC,Gloriafurt,amberrobbins@gardner-kirk.info,3.0
21,"Chen, Maddox and Arnold",Priceberg,lewislisa@bean.org,4.6
22,Bishop Inc,New Josephmouth,jacqueline31@smith.biz,4.4
23,"Adams, White and Wilson",South Javierhaven,lucasmartinez@kennedy.info,3.7
24,Anderson LLC,Alexanderbury,nicoleroth@taylor.com,3.3
25,"Yates, Arnold and Moore",East Melissamouth,michaelstephenson@martin.com,4.9
26,"Sellers, Oneill and Neal",Donaldborough,melissa86@lewis.com,3.7
27,Werner and Sons,Susanport,brent96@carey.net,3.2
28,Rodriguez and Sons,South Catherineport,youngamy@collins-davis.net,3.2
29,"Gregory, Johnson and Rios",Copelandbury,diana82@fletcher-ramirez.com,4.7
30,Kelley-Jackson,Port Cassidy,andrew60@malone.com,4.2
31,Brady-Jackson,West Crystalfort,mackenzie50@ware-maldonado.org,4.6
32,Jones Group,Smithmouth,usimpson@little.biz,4.5
33,Lloyd-Rodriguez,West Peter,parnold@anthony.org,4.1
34,Snyder LLC,Lake Jacquelineland,jill27@melton.org,4.9
35,Bailey and Sons,South Dana,travis27@nguyen.org,3.8
36,Martinez-Parker,North Lukemouth,harrisbeverly@wade.info,4.1
37,"Horn, Vazquez and Schmidt",Gibsonberg,cestes@salazar.info,4.7
38,"Lozano, Murray and Lee",Angelachester,hodgemichelle@johnson.com,4.2
39,Santiago PLC,Markview,williamsthomas@obrien.com,4.7
40,Rodriguez-Lewis,Jordanborough,andrewdavis@collins.com,4.2
41,"Fisher, Ross and Nixon",Josephmouth,dsmith@rodriguez.biz,4.4
42,"Price, Phillips and Hubbard",Michelefort,scottvictor@ponce-reynolds.net,3.1
43,"Monroe, Henry and Smith",Hannahton,cantrellmichael@brooks.org,3.5
44,Todd-Sullivan,North Lori,hardinanna@gonzalez.com,3.6
45,Bruce and Sons,Port Kimberlyland,harveytiffany@ramos-richards.com,3.2
46,Durham Ltd,West Ashley,tramsey@le.info,3.5
47,White LLC,North Ashleyfort,mary85@lopez-mooney.com,3.2
48,Davis Group,Navarrotown,david16@torres.biz,3.6
49,Jackson PLC,Sherylside,stokeschristine@stokes.com,4.3
50,Oliver-Jones,West Phillip,mmorse@simpson-morris.com,3.7
